epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4332.72,1.89083,1.67788,1.02354,0.42114,0.35299,0.31201,0.15076,1.76767,1.21136,0.98459,0.000475157,0.000475157,0.000475157
2,4516.87,1.79104,1.18688,0.98365,0.42598,0.32912,0.29668,0.14187,1.80788,1.14284,0.97206,0.000922054,0.000922054,0.000922054
3,4705.4,1.77745,1.14919,0.97611,0.41395,0.38675,0.34068,0.1685,1.70441,1.10223,0.95916,0.00133948,0.00133948,0.00133948
4,4888.48,1.74475,1.1069,0.96929,0.47328,0.39312,0.36427,0.1788,1.68513,1.08765,0.95403,0.00129637,0.00129637,0.00129637
5,5070.63,1.71322,1.0683,0.96139,0.50983,0.3936,0.38507,0.19033,1.65446,1.0048,0.9494,0.00125216,0.00125216,0.00125216
6,5253.71,1.70646,1.05021,0.95544,0.50099,0.39306,0.3824,0.19152,1.64724,1.00952,0.94531,0.00120795,0.00120795,0.00120795
7,5435,1.67821,1.02509,0.95204,0.51838,0.39871,0.39037,0.19435,1.62129,0.9702,0.94916,0.00116374,0.00116374,0.00116374
8,5618.73,1.67048,1.00608,0.94488,0.51072,0.40119,0.39463,0.19575,1.62969,0.9798,0.93957,0.00111953,0.00111953,0.00111953
9,5800.64,1.64574,0.98993,0.94348,0.52027,0.41408,0.4108,0.20317,1.58808,0.96644,0.93504,0.00107532,0.00107532,0.00107532
10,5984.31,1.65159,0.99296,0.94132,0.52334,0.41112,0.40702,0.20209,1.59939,0.96269,0.93927,0.00103111,0.00103111,0.00103111
11,6166.93,1.63585,0.97332,0.93843,0.55271,0.4308,0.43179,0.21786,1.55995,0.94151,0.92944,0.000986903,0.000986903,0.000986903
12,6351.48,1.63277,0.96245,0.93383,0.55588,0.42919,0.43011,0.21616,1.57065,0.9524,0.93059,0.000942693,0.000942693,0.000942693
13,6535.15,1.61783,0.95742,0.93428,0.55994,0.43052,0.43388,0.21917,1.56483,0.92938,0.92519,0.000898484,0.000898484,0.000898484
14,6718.39,1.60342,0.94147,0.93105,0.56271,0.42782,0.43815,0.22038,1.55382,0.92581,0.92106,0.000854274,0.000854274,0.000854274
15,6900.07,1.6007,0.93276,0.92664,0.57524,0.4363,0.44714,0.22555,1.54775,0.90446,0.92309,0.000810064,0.000810064,0.000810064
16,7080.48,1.59437,0.93021,0.92531,0.5625,0.43679,0.44526,0.22366,1.55178,0.9298,0.92421,0.000765855,0.000765855,0.000765855
17,7265.06,1.59247,0.92444,0.92408,0.57265,0.43911,0.44883,0.22767,1.53487,0.89043,0.92331,0.000721645,0.000721645,0.000721645
18,7444.5,1.58709,0.9173,0.92495,0.54431,0.44113,0.4412,0.22156,1.54754,0.91314,0.91952,0.000677435,0.000677435,0.000677435
19,7624.03,1.57208,0.90912,0.91978,0.56419,0.4437,0.45182,0.22819,1.52893,0.88763,0.91999,0.000633226,0.000633226,0.000633226
20,7804.96,1.56835,0.90084,0.92036,0.58307,0.44676,0.46006,0.23394,1.51267,0.87894,0.9175,0.000589016,0.000589016,0.000589016
21,7983.72,1.56604,0.89639,0.92054,0.58764,0.44867,0.46062,0.23474,1.51233,0.87273,0.91628,0.000544806,0.000544806,0.000544806
22,8162.36,1.57021,0.89565,0.91706,0.56756,0.44669,0.45904,0.23414,1.51678,0.8779,0.91468,0.000500597,0.000500597,0.000500597
23,8337.27,1.50005,0.86805,0.92,0.57633,0.45003,0.46333,0.23593,1.51445,0.87289,0.91385,0.000456387,0.000456387,0.000456387
24,8508.47,1.48807,0.84942,0.9164,0.59184,0.45154,0.46736,0.23917,1.50097,0.85819,0.91326,0.000412177,0.000412177,0.000412177
25,8679.94,1.48388,0.84172,0.91436,0.59439,0.45371,0.47155,0.2416,1.49547,0.85798,0.91369,0.000367967,0.000367967,0.000367967
26,8853.11,1.47177,0.83392,0.91329,0.58423,0.4558,0.46714,0.23974,1.50328,0.86006,0.91152,0.000323758,0.000323758,0.000323758
27,9023.82,1.46816,0.82801,0.91131,0.60098,0.45649,0.47532,0.24354,1.48844,0.85266,0.9097,0.000279548,0.000279548,0.000279548
28,9196.1,1.46035,0.8202,0.9097,0.59786,0.46018,0.47484,0.24393,1.48774,0.84587,0.90838,0.000235338,0.000235338,0.000235338
29,9368.51,1.44924,0.81229,0.90774,0.6071,0.46024,0.4782,0.24608,1.48446,0.84516,0.90757,0.000191129,0.000191129,0.000191129
